Lake,Lake_formatted
THOMPSON WATER CONTROL 1B,Thompson water -control 1B
THOMPSON WATER CONTROL 2B,Thompson water -control 2B
THOMPSON WATER CONTROL 3,Thompson water -control 3
THOMPSON WATER IMPACT 1,Thompson water -impact 1
THOMPSON WATER IMPACT 2,Thompson water -impact 2
THORPE PARK LAKE (FLEET LAKE),Fleet lake
THRAPSTON LAKE,Thrapston lake
THUNDER LAKE - COMPOSITE - (AB07BB0250),Thunder lake
TINDALE TARN AT OVERFLOW,Tindale tarn
TOUCHWOOD LAKE - COMPOSITE - (AB06AB0150),Touchwood lake
TUCKER LAKE - COMPOSITE - (AB06AC0740),Tucker lake
TURNERSHILL MARSH :FISHERS GREEN,Turnershill marsh
TURNFORD MARSH LAKE :TURNFORD,Turnford marsh lake
TYRRELL LAKE - COMPOSITE - (AB05AF0010),Tyrell lake
Third Narrows,Third Narrows
Trehörningen,Trehörningen
Tronntjärnarna,Tronntjärnarna
Trout,Trout lake
Trout bog,Trout bog
Tryssjön,Tryssjön
Tuesday Lake,Tuesday lake
Tväringen,Tväringen
Tängersjö,Tängersjö
Tärnan,Tärnan
Tärnan SSO,Tärnan SE.
"Tåkern, Glänås",Tåkern -glänås
Tångerdasjön,Tångerdasjön
ULLSWATER SOUTH BUOY,Ullswater -south buoy
ULLSWATER WFD,Ullswater -wfd
UPPER KANANASKIS LAKE - COMPOSITE - (AB05BF0160),Upper kananaskis lake
UPTON GREAT BROAD,Upton great broad
UPTON LITTLE BROAD,Upton little broad
USGS-491528094470601,USGS-491528094470601
USGS-491958094514301,USGS-491958094514301
USGS-492016094494201,USGS-492016094494201
USGS-492142094421501,USGS-492142094421501
Uggenäsdypen,Uggenäsdypen
Ulvhällsfjärden,Ulvhällsfjärden
"V Storsjön 1,2 km O Gravholmen",Storsjön -gravholmen
V. Hultasjön,Hultasjön W.
V. Rännöbodsjön,Rännöbodsjön W.
V. Skälsjön,Skälsjön W.
VINCENT LAKE - COMPOSITE - (AB05ED0310),Vincent lake
"VIRGINIA WATER OUTLET, ABOVE A30 ROADBRI",Virginia water
Valasjön,Valasjön
Valloxen,Valloxen
Vikasjön,Vikasjön
Virsbosjön,Virsbosjön
Virserumssjön,Virserumssjön
Vombsjön,Vombsjön
Vrången,Vrången
Värmlandssjön Centr.,Värmlandssjön Centr.
Väster-Lövsjön,Väster-Lövsjön
Västeråsfjärden N,Västeråsfjärden N.
Västra Ringsjön,Västra Ringsjön
"Vättern, Jönköping",Vättern -jönköping
WABAMUN LAKE - EAST BASIN COMPOSITE - (AB05DE0630),Wabamun lake -east basin
WABAMUN LAKE - MAIN BASIN COMPOSITE - (AB05DE0650),Wabamun lake -main basin
WABAMUN LAKE - MOONLIGHT BAY COMPOSITE - (AB05DE0640),Wabamun lake -moonlit bay
WABAMUN LAKE - WEST BASIN COMPOSITE - (AB05DE0620),Wabamun lake -west basin
WAST WATER (WFD STILLWATER SITE),Wastwater -stillwater
WASTWATER - LAKES TOUR,Wastwater -lakes tour
WESTBERE LAKES,Westbere lakes
WESTBERE LAKES POINT1,Westbere lakes point 1
WHEATFEN BROAD,Wheatfen broad
WHITE MERE - WHITEMERE COTTAGES,White mere
