lake,lake_lat,lake_long
UNNAMED LAKE - COMPOSITE - (AB07GF0100),54.912,-118.134
UNNAMED LAKE - COMPOSITE - (AB07BF0090),55.975,-116.484
Ulvhällsfjärden,59.368,17.055
Dyrsjön,60.652,13.491
TYRRELL LAKE - COMPOSITE - (AB05AF0010),49.383,-112.267
TWO LAKE (L104) - COMPOSITE - (AB07GC0080),54.351,-119.785
TWIN LAKE(WEST)(L94) - COMPOSITE - (AB07HC0200),57.444,-117.553
TWIN LAKE - COMPOSITE - (AB05EA0290),52.917,-114.333
Tväringen,62.244,15.676
TUNSTALL RESERVOIR NEAR DAM WALL WEST,54.762,-1.902
TULIP LAKE - COMPOSITE - (AB07NB0030),59.905,-111.153
TUCKER LAKE - SITE 2 COMPOSITE - (AB06AC0735),54.524,-110.600
TUCKER LAKE - COMPOSITE - (AB06AC0740),54.536,-110.631
Tryssjön,60.435,15.083
Trout bog,46.041,-89.686
Trout,46.029,-89.665
Ekoln special,59.787,17.616
Trehörningen,59.531,18.355
TRAP LAKE (L105) - COMPOSITE - (AB07GC0100),54.619,-119.969
Trätten S,60.032,15.956
TRADING POST LAKE (L101) - COMPOSITE - (AB07FC0020),57.074,-119.763
TOUCHWOOD LAKE - SOUTH BASIN COMPOSITE - (AB06AB0457),54.792,-111.414
TOUCHWOOD LAKE - COMPOSITE - (AB06AB0150),54.839,-111.380
Tomeshultagölen,56.739,15.407
"Tolken, Djupaste punkten",57.796,13.254
"Tolken (Mark), Djupaste punkten",57.376,12.616
"Tjärnesjön (pelagialt, djupaste punkten)",57.145,12.859
TIPERARY LAKE - COMPOSITE - (AB07BE0740),54.400,-113.233
THUNDER LAKE - COMPOSITE - (AB07BB0250),54.150,-114.750
THE MERE NEAR PUMPHOUSE,53.330,-2.401
TEPEE LAKE - COMPOSITE - (AB07JB0050),56.424,-113.957
TAWATINAW LAKE - COMPOSITE - (AB07BE0460),54.333,-113.467
TALBOT LAKE - COMPOSITE - (AB07JD0020),57.462,-115.734
Taihu-THLO8,31.249,120.169
Taihu-THLO7,31.325,120.186
taihu,31.271,120.219
Tångerdasjön,57.464,15.060
Tärnan SSO,59.091,13.464
Tärnan,59.557,18.366
Tängersjö,57.466,16.033
SYLVAN LAKE - COMPOSITE - (AB05CC0700),52.350,-114.167
SWARTZ LAKE - COMPOSITE - (AB07AH0450),54.679,-115.627
SWAN LAKE (WEST OF VALLEYVIEW) - COMPOSITE - (AB07GF0310),55.061,-117.809
SWAN LAKE (WEST OF CAROLINE) - COMPOSITE - (AB05DB0140),52.118,-115.171
Svinnegarnsviken,59.568,17.071
Svinarydsjön,56.177,14.937
Svartsjön,56.851,13.234
Svartesjön,56.851,13.290
Svanshalssjön,56.419,13.949
Svaneholmssjön,55.501,13.483
Superior,46.544,-84.749
SULPHUR LAKE - COMPOSITE - (AB07HC0210),56.707,-118.312
STURGEON LAKE - WEST ARM COMPOSITE - (AB07GH0230),55.109,-117.529
STURGEON LAKE - MAIN BASIN COMPOSITE - (AB07GH0220),55.103,-117.538
Fällbanken NO,58.884,13.263
Stråken,57.858,13.867
Fällbanken NV,58.918,13.079
Fagerhultasjön,57.497,15.358
"Storsjön, Norbyviken, Stordjupet",60.574,16.630
Storsjön,61.643,15.791
Farstusjön,56.535,13.994
Funbosjön,59.860,17.860
Stor-Backsjön,62.676,14.517
Storasjö,56.948,15.271
Stora Vänstern,58.617,15.170
Stora Nätaren,57.802,14.559
Gätejaure,62.982,13.758
Stora Envättern,59.117,17.346
Galten V,59.469,16.088
Geten,58.561,15.722
STOBART LAKE - COMPOSITE - (AB05BM0800),50.917,-113.183
Stensjön,59.174,18.324
Stengårdshultasjön,57.558,13.802
STEELE (CROSS) LAKE - COMPOSITE - (AB07BC0110),54.650,-113.767
Grönskogssjön,57.163,16.347
Gyltigesjön,56.753,13.174
St. Lummersjön,58.114,14.106
St. Aspen,59.142,16.136
St Skärsjön,57.168,14.509
"St Hålsjön, Djupaste punkten",57.568,12.641
SPRUCE COULEE RESERVOIR - COMPOSITE - (AB11AB0010),49.683,-110.183
SPRING LAKE - COMPOSITE - (AB05EA0260),53.517,-114.133
Spjutsjön,60.647,15.438
Sparkling,46.008,-89.701
SOUTH TEA LAKE - COMPOSITE - (AB07BK0200),54.785,-115.025
South Lake,50.646,-100.011
Sommen väst,58.134,14.971
Sommen nordväst,58.134,14.971
Sommen,58.134,14.971
Snogeholmssjön,55.564,13.721
SNIPE LAKE - COMPOSITE - (AB07GH0240),55.117,-116.783
SMOKE LAKE - COMPOSITE - (AB07GG0010),54.367,-116.933
Härö Nygrund NO,59.249,13.766
Skreia,60.652,11.087
Skirösjön,57.365,15.381
Härbillingen,56.967,12.737
SKELETON LAKE - SOUTH BASIN - COMPOSITE - (AB06AA0410),54.615,-112.728
SKELETON LAKE - NORTH BASIN - COMPOSITE - (AB06AA0440),54.644,-112.705
SKELETON LAKE - COMPOSITE - (AB06AA0450),54.601,-112.705
Skarven,59.554,17.807
Skärsjösjön,57.832,14.782
Skärgölen,58.591,15.513
Skäravattnet,56.323,14.375
SINCLAIR LAKE - COMPOSITE - (AB07GJ0280),55.397,-119.747
SILER (STONEY) LAKE - COMPOSITE - (AB05ED0270),53.867,-111.100
Siggeforasjön,59.978,17.162
SHORNCLIFFE LAKE - COMPOSITE - (AB05FD0030),52.469,-110.868
SHOOTING LAKE - COMPOSITE - (AB05FC0220),52.200,-112.350
SHININGBANK LAKE - COMPOSITE - (AB07AG0765),53.858,-116.037
SHERBURNE LAKE - COMPOSITE GRASSY LAKE - (AB05AJ0090),49.767,-111.767
SEMO LAKE - COMPOSITE - (AB07KA0060),58.844,-115.000
Hagsjön,58.762,15.934
SCOTS LAKE - COMPOSITE - (AB05BN0410),50.350,-111.617
Saxen,60.156,14.980
SASKATOON LAKE - COMPOSITE - (AB07GE0240),55.217,-119.088
Sangen,61.928,14.897
SANDY LAKE - SOUTH BASIN COMPOSITE - (AB05EA0390),53.772,-114.030
SANDY LAKE - NORTH BASIN COMPOSITE - (AB05EA0370),53.809,-114.049
SANDY LAKE - COMPOSITE - (AB07JA0390),55.845,-113.372
SAND LAKE (L22) - COMPOSITE - (AB07DA2250),57.651,-112.367
Hedgärdessjö,57.507,12.634
Salen,56.865,14.556
Sövdesjön,55.581,13.663
Sövdeborgssjön,55.581,13.694
Södra Gusjön,57.379,13.593
Södra Färgen,56.906,13.341
"Södra Dellen, profundal",61.757,16.851
Sätterholmsfjärden Hammarö/Karlstad kommun,59.327,13.641
Sätoftasjön,55.891,13.552
Sännen,56.325,15.358
"Sämsjön (pelagialt, djupaste punkten)",57.643,13.373
Säbysjön,57.988,14.933
Hemfjärden,59.282,15.339
Hjulstabron V,59.532,17.009
S. Vidöstern,56.979,13.984
S. Björkfjärden SO,59.290,17.520
S. Barken,60.009,15.651
"S Dellen, D 100",61.791,16.678
Rusken,57.000,14.000
Rundbosjön,58.809,17.369
