,lake,tsi,trophic_status,lake_lat,lake_long
156,Geten,55.7174121,eutrophic,58.561,15.722
157,Glan,51.55815415,eutrophic,58.2,15.959
158,Granfj. Djurgårds Udde,53.3941796,eutrophic,59.494,16.811
159,Grasmere,52.77241068,eutrophic,54.449,-3.02
160,Grönsöfjärden Selaön,51.92334633,eutrophic,59.466,17.269
161,Gyslättasjön,52.18130023,eutrophic,57.108,14.448
162,Görväln S.,51.39610567,eutrophic,59.419,17.74
163,Hatch mere,67.00406391,eutrophic,53.244,-2.671
164,Heigham sound,68.05042641,eutrophic,52.726,1.605
165,Hickling broad,69.09778888,eutrophic,52.74,1.581
166,Horsey mere,63.93346039,eutrophic,52.741,1.627
167,Hoveton great broad,68.98381028,eutrophic,52.697,1.428
168,Hoveton great broad -edge,69.33503118,eutrophic,52.692,1.426
169,Hoveton little broad,65.0234639,eutrophic,52.705,1.443
170,Hudson's bay E.,68.18878328,eutrophic,52.698,1.424
171,Havgårdssjön,57.72877248,eutrophic,55.488,13.357
172,Hjulstabron W.,51.6313597,eutrophic,59.532,17.009
173,Häckebergasjön,69.11154143,eutrophic,55.582,13.427
174,Iosegun lake,63.69099151,eutrophic,54.467,-116.833
175,Isle lake,66.31671518,eutrophic,53.633,-114.733
176,Jackfish lake,54.97212423,eutrophic,53.479,-114.256
177,Kolsundet W.,53.14345816,eutrophic,59.355,17.298
178,Krageholmssjön,66.0041482,eutrophic,55.496,13.762
179,Kvicksundsbron,55.75399654,eutrophic,59.45,16.314
180,Kyrkfjärden,52.31147404,eutrophic,59.435,18.19
181,Kållen,60.26108307,eutrophic,57.167,15.394
182,Ullevifjärden S.,54.12569924,eutrophic,59.596,17.523
183,Lac la biche E.,63.756429,eutrophic,54.667,-112.033
184,Lac saint cyr -whole lake,51.7948253,eutrophic,53.905,-111.19
185,Lac ste. Anne E.,66.75966307,eutrophic,53.708,-114.4
186,Lac ste. Anne W.,67.62205419,eutrophic,53.717,-114.5
187,Burghfield lake,54.66407295,eutrophic,51.425,-1.016
188,Sonning eye lake,50.52835108,eutrophic,51.477,-0.923
189,Lake McGregor,52.01002868,eutrophic,50.543,-112.896
190,Lake newell,54.28105451,eutrophic,50.433,-111.917
191,Little fish lake,68.90745307,eutrophic,51.367,-112.233
192,Littlesea lake,61.66994306,eutrophic,50.659,-1.962
193,Long lake -boyle,61.36657759,eutrophic,54.431,-112.756
194,Loweswater -wq survey,50.38061567,eutrophic,54.584,-3.357
195,Loweswater,52.67871647,eutrophic,54.579,-3.351
196,Lillsjön,58.45955179,eutrophic,62.76,15.229
197,Loch leven,66.65556441,eutrophic,56.197,-3.372
198,Martham south broad,59.81622632,eutrophic,52.724,1.64
199,Matchayaw lake,62.67979847,eutrophic,53.711,-114.098
200,May lake,53.83540743,eutrophic,54.725,-110.394
201,Mcleod lake E.,54.10926117,eutrophic,54.294,-115.658
202,Mere ellesmere,61.4329716,eutrophic,52.913,-2.885
203,Mere mere,64.77320121,eutrophic,53.331,-2.403
204,Mere mere -edge,60.05110368,eutrophic,53.33,-2.402
205,Mockbeggar lake,65.44810145,eutrophic,50.875,-1.779
206,Moonshine lake,59.80939005,eutrophic,55.883,-119.217
207,Moose lake -vezeau bay,59.69059287,eutrophic,54.277,-110.835
208,Moose lake -whole lake,60.05331657,eutrophic,54.242,-110.91
209,Murston angling lake,66.97223972,eutrophic,51.35,0.772
210,Lake mendota,54.51344062,eutrophic,43.099,-89.405
211,lake monona,55.08390464,eutrophic,43.063,-89.361
212,Moon lake,65.70149548,eutrophic,50.883,-100.05
213,Nakamun lake,66.30721825,eutrophic,53.883,-114.2
214,Nook lake,61.20942436,eutrophic,50.927,0.744
215,North buck lake,54.63025505,eutrophic,54.684,-112.566
216,Nordmyrasjön,58.55597536,eutrophic,60.163,16.868
217,NorraVänern -ölmeviken,51.06775229,eutrophic,59.335,13.99
218,Nässjön,53.29010477,eutrophic,57.636,15.695
