lake,tsi,trophic_status
Rostherne mere -outlet,58.50407005,eutrophic
Rutland water -hambleton south,56.36719051,eutrophic
Rutland water -tower,51.78578155,eutrophic
Rutland water -north buoy,52.55869007,eutrophic
Rutland water -south buoy,53.60118543,eutrophic
Ridöfjärden,56.90093318,eutrophic
Roxen -centrala delen,54.07823344,eutrophic
Roxen S.,55.51958852,eutrophic
Barken S.,50.89659807,eutrophic
Saskatoon lake,66.21996752,eutrophic
Sherborne lake,69.99556067,eutrophic
Shorncliffe lake,52.27086913,eutrophic
Silverwings lake -wraysbury,53.64828774,eutrophic
Skeleton lake -south basin,59.56405972,eutrophic
Skelsmergh tarn,58.43700713,eutrophic
Slapton ley,65.74475553,eutrophic
Smoke lake -composite,62.18837687,eutrophic
Snails lake,56.05809286,eutrophic
Steele (cross) lake,68.39600376,eutrophic
Stewartby lake,53.71967264,eutrophic
Sturgeon lake -main basin,65.346961,eutrophic
Sturgeon lake -west arm,66.717856,eutrophic
Sunbiggin tarn,58.97472324,eutrophic
Salen,60.54431493,eutrophic
Salen -längst norrut,57.63941213,eutrophic
Sigtunafjärden,55.87469745,eutrophic
Skarven,56.71287933,eutrophic
South lake,57.18905798,eutrophic
St. Aspen,54.28287313,eutrophic
Stockholm,58.79447133,eutrophic
Storhjälmaren,53.10797578,eutrophic
Strängnäsbron,52.589255,eutrophic
Stäket,51.38014564,eutrophic
Stäketbron,51.2540787,eutrophic
Svinnegarnsviken,58.4840188,eutrophic
Sätoftasjön,65.04416327,eutrophic
Tabley mere,67.88985845,eutrophic
Talkin tarn,58.51773194,eutrophic
Tallington lakes,51.47087256,eutrophic
Tatton mere -wfd,61.73539983,eutrophic
Techill mere,65.68002919,eutrophic
Thompson water,60.24161205,eutrophic
Thompson water -control 2A,51.74673697,eutrophic
Thompson water -control 3,58.53094207,eutrophic
Thompson water -impact 1,65.18947403,eutrophic
Thompson water -impact 2,62.34087691,eutrophic
Thompson water -impact 3,63.18569409,eutrophic
Fleet lake,53.16020618,eutrophic
Thrapston lake,62.25037428,eutrophic
Thunder lake,67.71652811,eutrophic
Tucker lake,60.17849756,eutrophic
Turnershill marsh,64.6642592,eutrophic
Turnford marsh lake,50.82196542,eutrophic
Trehörningen,50.39409679,eutrophic
Trout bog,66.68889367,eutrophic
Tuesday lake,51.30291028,eutrophic
Tåkern -glänås,62.48934186,eutrophic
Upton great broad,51.99577257,eutrophic
Upton little broad,54.87896686,eutrophic
Ulvhällsfjärden,57.85579001,eutrophic
Vincent lake,58.60585111,eutrophic
Virginia water,56.53415749,eutrophic
Västeråsfjärden N.,59.32775455,eutrophic
Västra Ringsjön,66.35283547,eutrophic
Wabamun lake -east basin,53.08119882,eutrophic
Wabamun lake -main basin,54.80403127,eutrophic
Wabamun lake -west basin,55.4543099,eutrophic
Westbere lakes,66.05280658,eutrophic
Westbere lakes point 1,66.38058724,eutrophic
White mere,63.62666463,eutrophic
Winagami lake,65.80189275,eutrophic
Wroxham broad,67.02221835,eutrophic
