,date,year,month,day,day_of_year,num_samples,depth,chla,secchi,tp,doc,ph,tkn,no2,no3,nh4,dic,temp,par,poc,srp,tdn,tn,lake
45673,1964-06-15,1964,6,15,167,51,,2.77,,,,,,,250.0,,,14.35,,,,,,Windermere -north basin
6694,1964-06-15,1964,6,15,167,46,,5.7,,,,,,,240.0,,,15.4,,,,,,Belhalm tarn
47534,1964-06-22,1964,6,22,174,51,,3.81,,,,,,,170.0,,,13.9,,,,,,Windermere -south basin
45674,1964-06-22,1964,6,22,174,51,,3.34,,,,,,,240.0,,,13.75,,,,,,Windermere -north basin
15928,1964-06-22,1964,6,22,174,46,,5.27,,,,,,,260.0,,,14.5,,,,,,Esthwaite water
6695,1964-06-22,1964,6,22,174,46,,5.4,,,,,,,260.0,,,14.4,,,,,,Belhalm tarn
47535,1964-06-29,1964,6,29,181,51,,9.32,,,,,,,,,,16.6,,,,,,Windermere -south basin
6696,1964-06-29,1964,6,29,181,46,,7.6,,,,,,,,,,,,,,,,Belhalm tarn
45675,1964-06-29,1964,6,29,181,51,,3.73,,,,,,,,,,15.95,,,,,,Windermere -north basin
15929,1964-06-29,1964,6,29,181,46,,4.76,,,,,,,,,,16.0,,,,,,Esthwaite water
47536,1964-07-06,1964,7,6,188,51,,9.22,,,,,,,,,,16.3,,,,,,Windermere -south basin
6697,1964-07-06,1964,7,6,188,46,,11.9,,,,,,,,,,17.9,,,,,,Belhalm tarn
45676,1964-07-06,1964,7,6,188,51,,4.39,,,,,,,,,,16.1,,,,,,Windermere -north basin
15930,1964-07-06,1964,7,6,188,46,,7.46,,,,,,,,,,17.2,,,,,,Esthwaite water
47537,1964-07-13,1964,7,13,195,51,,7.53,,,,,,,120.0,,,16.2,,,,,,Windermere -south basin
6698,1964-07-13,1964,7,13,195,46,,11.2,,,,,,,160.0,,,16.0,,,,,,Belhalm tarn
15931,1964-07-13,1964,7,13,195,46,,13.29,,,,,,,220.0,,,16.0,,,,,,Esthwaite water
45677,1964-07-13,1964,7,13,195,51,,4.56,,,,,,,230.0,,,15.2,,,,,,Windermere -north basin
6699,1964-07-20,1964,7,20,202,46,,12.5,,,,,,,140.0,,,18.0,,,,,,Belhalm tarn
15932,1964-07-20,1964,7,20,202,46,,7.96,,,,,,,230.0,,,17.8,,,,,,Esthwaite water
47538,1964-07-20,1964,7,20,202,51,,7.14,,,,,,,97.0,,,17.1,,,,,,Windermere -south basin
45678,1964-07-20,1964,7,20,202,51,,4.98,,,,,,,180.0,,,16.95,,,,,,Windermere -north basin
47539,1964-07-27,1964,7,27,209,51,,7.08,,,,,,,92.0,,,18.2,,,,,,Windermere -south basin
15933,1964-07-27,1964,7,27,209,46,,13.96,,,,,,,170.0,,,18.8,,,,,,Esthwaite water
45679,1964-07-27,1964,7,27,209,51,,4.97,,,,,,,170.0,,,18.4,,,,,,Windermere -north basin
6700,1964-07-27,1964,7,27,209,46,,11.1,,,,,,,69.0,,,18.5,,,,,,Belhalm tarn
6701,1964-08-04,1964,8,4,217,46,,13.7,,,,,,,56.0,,,18.6,,,,,,Belhalm tarn
15934,1964-08-04,1964,8,4,217,46,,19.14,,,,,,,180.0,,,18.7,,,,,,Esthwaite water
45680,1964-08-04,1964,8,4,217,51,,6.42,,,,,,,160.0,,,17.25,,,,,,Windermere -north basin
47540,1964-08-04,1964,8,4,217,51,,15.5,,,,,,,67.0,,,17.85,,,,,,Windermere -south basin
45681,1964-08-10,1964,8,10,223,51,,6.64,,,,,,,130.0,,,17.65,,,,,,Windermere -north basin
15935,1964-08-10,1964,8,10,223,46,,22.66,,,,,,,120.0,,,17.9,,,,,,Esthwaite water
6702,1964-08-10,1964,8,10,223,46,,17.4,,,,,,,23.0,,,19.0,,,,,,Belhalm tarn
47541,1964-08-10,1964,8,10,223,51,,14.38,,,,,,,16.0,,,18.35,,,,,,Windermere -south basin
15936,1964-08-17,1964,8,17,230,46,,18.92,,,,,,,85.0,5.0,,18.9,,,,,,Esthwaite water
47542,1964-08-17,1964,8,17,230,51,,13.8,,,,,,,19.0,,,18.5,,,,,,Windermere -south basin
6703,1964-08-17,1964,8,17,230,46,,17.6,,,,,,,14.0,10.0,,18.7,,,,,,Belhalm tarn
45682,1964-08-17,1964,8,17,230,51,,7.89,,,,,,,110.0,2.0,,18.4,,,,,,Windermere -north basin
47543,1964-08-24,1964,8,24,237,51,,17.79,,,,,,,28.0,,,16.45,,,,,,Windermere -south basin
15937,1964-08-24,1964,8,24,237,46,,28.6,,,,,,,120.0,,,16.3,,,,,,Esthwaite water
