,date,year,month,day,day_of_year,num_samples,depth,chla,secchi,tp,doc,ph,tkn,no2,no3,nh4,dic,temp,par,poc,srp,tdn,tn,lake
49927,2001-09-18,2001,9,18,261,35,2.0,7.25,,0.02245,,,,,,,,,,,0.0016,,,Hamilton harbour
17781,2001-09-18,2001,9,18,261,17,,50.54,,0.343,,,,,,,,14.1,,,,,,Filby broad
49063,2001-09-18,2001,9,18,261,24,,97.06,1.9,15.2,,10.1,,,49.0,5.0,,14.9,,,,,,Windermere -south basin
47204,2001-09-18,2001,9,18,261,24,,9.02,4.7,9.61,,7.45,,,310.0,5.0,,14.2,,,,,,Windermere -north basin
41811,2001-09-18,2001,9,18,261,18,2.0,109.25,,,,,,,,,,,,,,,,Trout bog
17430,2001-09-18,2001,9,18,261,24,,21.2,1.5,40.7,,7.43,,,74.0,72.0,,14.1,,,,,,Esthwaite water
37012,2001-09-18,2001,9,18,261,18,1.5,0.8,,,,,,,,,,,,,,,,Sparkling lake
1484,2001-09-18,2001,9,18,261,12,,2.46,3.75,7.0,6.96,,,,,,,15.54230769,,,,,,Experimental lake 239
37676,2001-09-18,2001,9,18,261,20,0.5,5.1,,,,,,,,,,,,,,,,Stensjön
29898,2001-09-18,2001,9,18,261,21,,45.12,,0.156,,,,,,,,14.2,,,,,,Ormesby little broad
8158,2001-09-18,2001,9,18,261,13,,33.7,2.1,33.3,,7.2,,,25.0,52.0,,14.3,,,,,,Belhalm tarn
42784,2001-09-18,2001,9,18,261,14,,48.05,,0.045,,,,,,,,14.0,,,,,,Upton great broad
29614,2001-09-18,2001,9,18,261,21,,40.85,,0.125,,,,,,,,14.1,,,,,,Ormesby broad
33949,2001-09-18,2001,9,18,261,19,,42.79,,0.146,,,,,,,,14.2,,,,,,Rollesby broad
41168,2001-09-19,2001,9,19,262,18,1.5,3.65,,,,,,,,,,,,,,,,Trout lake
14116,2001-09-19,2001,9,19,262,21,,3.7,5.1,8.2,,7.1,,,167.0,7.0,,13.4,,,,,,Derwentwater
2259,2001-09-19,2001,9,19,262,7,0.5,4.6,,,,,,,,,,,,,,,,Getasjön
13385,2001-09-19,2001,9,19,262,18,0.75,26.575,,,,,,,,,,,,,,,,Crystal bog
43962,2001-09-19,2001,9,19,262,10,0.5,74.0,,,,,,,,,,,,,,,,Västra Ringsjön
26853,2001-09-19,2001,9,19,262,17,0.5,3.7,,,,,,,,,,,,,,,,Långsjön
40729,2001-09-19,2001,9,19,262,7,0.5,3.9,,,,,,,,,,,,,,,,Trehörningen
6375,2001-09-19,2001,9,19,262,17,,37.1,2.0,22.2,,7.4,,,266.0,18.0,,13.9,,,,,,Bassenthwaite
39075,2001-09-19,2001,9,19,262,10,0.5,65.0,,,,,,,,,,,,,,,,Sätoftasjön
51794,2001-09-19,2001,9,19,262,11,0.5,47.0,,,,,,,,,,,,,,,,Östra Ringsjön
2102,2001-09-20,2001,9,20,263,6,0.2,46.0,,,,,,,,,,,,,,,,Trummen mitt
18364,2001-09-20,2001,9,20,263,8,0.5,5.1,,,,,,,,,,,,,,,,Fiolen
2186,2001-09-20,2001,9,20,263,6,0.2,22.0,,,,,,,,,,,,,,,,Växjösjön mitt
12723,2001-09-20,2001,9,20,263,18,1.5,1.4,,,,,,,,,,,,,,,,Crystal lake
21836,2001-09-20,2001,9,20,263,8,0.5,37.5,,,,,,,,,,,,,,,,Gyslättasjön
1755,2001-09-20,2001,9,20,263,6,0.2,49.0,,,,,,,,,,,,,,,,Bergundasjön N.
24118,2001-09-20,2001,9,20,263,6,1.0,70.0,,,,,,,,,,,,,,,,Häckebergasjön
25819,2001-09-24,2001,9,24,267,6,0.2,3.4,,,,,,,,,,,,,,,,Levrasjön
44362,2001-09-24,2001,9,24,267,6,,10.7,1.8,0.029,15.8,8.69,0.39,0.003,0.007,,,,,,,,,Wabamun lake -west basin
49417,2001-09-24,2001,9,24,267,15,2.0,50.2,,,,,,,,,,,,,,,,Wingra
31888,2001-09-24,2001,9,24,267,6,0.2,37.0,,,,,,,,,,,,,,,,Oppmannasjön -arkelstorpsviken
31810,2001-09-24,2001,9,24,267,6,0.2,13.0,,,,,,,,,,,,,,,,Oppmannasjön
345,2001-09-24,2001,9,24,267,13,,4.37,2.25,9.0,6.48,,,,,,,12.14041667,,,,,,Experimental lake 114
44173,2001-09-24,2001,9,24,267,6,,9.3,1.7,0.032,13.9,8.63,0.49,,,,,,,,,,,Wabamun lake -east basin
15592,2001-09-24,2001,9,24,267,6,0.5,3.6,,,,,,,,,,,,,,,,Ekoln Vreta Udd
22111,2001-09-25,2001,9,25,268,6,0.5,8.3,,,,,,,,,,,,,,,,Görväln S.
31125,2001-09-25,2001,9,25,268,28,,14.02,1.6,51.3,,,,,,,,19.77,,,21.1,,,Oneida lake
4106,2001-09-25,2001,9,25,268,16,,88.25,,0.077,,,,,,,,15.4,,,,,,Barton broad E.
18524,2001-09-25,2001,9,25,268,16,1.5,9.95,,,,,,,,,,,,,,,,Fish lake
32158,2001-09-25,2001,9,25,268,11,,52.9,1.5,0.074,,,1.83,,,0.018,,,,,,,,Pine lake -middle
32266,2001-09-25,2001,9,25,268,11,,50.8,1.5,0.074,,,1.76,,,0.021,,,,,,,,Pine lake -north
36424,2001-09-25,2001,9,25,268,6,0.5,2.4,,,,,,,,,,,,,,,,Skarven
4509,2001-09-25,2001,9,25,268,16,,100.85,,0.088,,,,,,,,14.5,,,,,,Barton broad outflow
1899,2001-09-25,2001,9,25,268,12,,4.57,4.0,4.0,7.08,,,,,,,14.125,,,,,,Experimental lake 442
32366,2001-09-25,2001,9,25,268,11,,39.9,2.3,0.06,,,1.53,,,0.018,,,,,,,,Pine lake -south
35261,2001-09-25,2001,9,25,268,6,0.5,4.7,,,,,,,,,,,,,,,,Björkfjärden SE.
22543,2001-09-26,2001,9,26,269,21,,55.94,,0.091,,,,,,,,14.2,,,,,,Heigham sound
24369,2001-09-26,2001,9,26,269,6,0.5,4.9,,,,,,,,,,,,,,,,Kolsundet SE.
20301,2001-09-26,2001,9,26,269,6,0.5,20.5,,,,,,,,,,,,,,,,Granfj. Djurgårds Udde
43660,2001-09-26,2001,9,26,269,6,0.5,54.2,,,,,,,,,,,,,,,,Västeråsfjärden N.
19712,2001-09-26,2001,9,26,269,6,0.5,32.3,,,,,,,,,,,,,,,,Galten
9416,2001-09-26,2001,9,26,269,6,0.5,42.5,,,,,,,,,,,,,,,,Blacken lake
27323,2001-09-26,2001,9,26,269,15,,6.65,,0.022,,,,,,,,15.5,,,,,,Martham south broad
28594,2001-09-26,2001,9,26,269,15,2.0,13.0,,,,,,,,,,,,,,,,lake monona
43253,2001-09-26,2001,9,26,269,6,0.5,13.6,,,,,,,,,,,,,,,,Ulvhällsfjärden
28328,2001-09-26,2001,9,26,269,19,2.0,11.9,,,,,,,,,,,,,,,,Lake mendota
796,2001-09-26,2001,9,26,269,13,,1.21,5.5,4.0,3.48,,,,,,,14.8826087,,,,,,Experimental lake 224
23054,2001-09-26,2001,9,26,269,22,,14.72,,0.138,,,,,,,,13.2,,,,,,Horsey mere
22798,2001-09-26,2001,9,26,269,21,,59.3,,0.107,,,,,,,,15.5,,,,,,Hickling broad
33544,2001-09-27,2001,9,27,270,6,0.5,7.0,,,,,,,,,,,,,,,,Prästfjärden
38774,2001-09-27,2001,9,27,270,6,0.5,24.8,,,,,,,,,,,,,,,,Svinnegarnsviken
49928,2001-09-27,2001,9,27,270,35,2.0,5.25,,0.03195,,,,,,,,,,,0.00395,,,Hamilton harbour
11198,2001-10-01,2001,10,1,274,6,,110.98,,0.132,,,,,,,,10.9,,,,,,Cromes broad
2285,2001-10-01,2001,10,1,274,9,,56.42,,0.072,,,,,,,,10.9,,,,,,Alderfen broad N.
10279,2001-10-01,2001,10,1,274,8,,20.3,,0.092,,,,,,,,10.0,,,,,,Cockshoot broad
50908,2001-10-01,2001,10,1,274,12,,6.61,,0.093,,,,,,,,,,,,,1.12,Taihu
21238,2001-10-01,2001,10,1,274,21,,11.0,3.6,26.0,,6.82,,,276.0,130.0,,13.2,,,,,,Grasmere
31126,2001-10-01,2001,10,1,274,28,,14.71,1.43,38.3,,,,,,,,17.51,,,13.7,,,Oneida lake
41812,2001-10-01,2001,10,1,274,18,1.25,73.725,,,,,,,,,,,,,,,,Trout bog
8798,2001-10-01,2001,10,1,274,18,1.5,2.8,,,,,,,,,,,,,,,,Big Muskellunge lake
49064,2001-10-02,2001,10,2,275,24,,91.05,1.8,14.4,,9.83,,,41.0,5.0,,14.0,,,,,,Windermere -south basin
37013,2001-10-02,2001,10,2,275,18,1.5,1.0,,,,,,,,,,,,,,,,Sparkling lake
47205,2001-10-02,2001,10,2,275,24,,11.65,3.6,13.7,,7.45,,,199.0,16.0,,13.9,,,,,,Windermere -north basin
8159,2001-10-02,2001,10,2,275,13,,23.1,1.0,43.6,,7.1,,,239.0,78.0,,13.9,,,,,,Belhalm tarn
17431,2001-10-02,2001,10,2,275,24,,24.06,1.7,35.9,,7.51,,,158.0,66.0,,14.1,,,,,,Esthwaite water
13386,2001-10-02,2001,10,2,275,18,0.75,3.75,,,,,,,,,,,,,,,,Crystal bog
14117,2001-10-03,2001,10,3,276,21,,4.3,3.8,5.9,,7.0,,,113.0,5.0,,13.2,,,,,,Derwentwater
3441,2001-10-03,2001,10,3,276,18,1.333333333,15.1,,,,,,,,,,,,,,,,Allequash lake
6376,2001-10-03,2001,10,3,276,17,,35.5,1.6,30.7,,7.2,,,253.0,5.0,,13.3,,,,,,Bassenthwaite
1485,2001-10-03,2001,10,3,276,12,,3.55,4.25,6.0,6.84,,,,,,,13.44791667,,,,,,Experimental lake 239
41169,2001-10-03,2001,10,3,276,18,1.5,4.25,,,,,,,,,,,,,,,,Trout lake
49929,2001-10-04,2001,10,4,277,35,2.0,3.9,,0.0287,,,,,,,,,,,0.0017,,,Hamilton harbour
12724,2001-10-04,2001,10,4,277,18,1.5,2.2,,,,,,,,,,,,,,,,Crystal lake
26628,2001-10-04,2001,10,4,277,28,,27.86666667,1.36,48.3,,,,,,,,6.933333333,,,4.8,,,Loch leven
26629,2001-10-07,2001,10,7,280,28,,8.4,3.39,30.4,,,,,,,,17.93333333,,,4.466666667,,,Loch leven
49930,2001-10-07,2001,10,7,280,35,2.0,13.95,,0.03625,,,,,,,,,,,0.0011,,,Hamilton harbour
25926,2001-10-08,2001,10,8,281,8,0.5,2.0,,,,,,,,,,,,,,,,Lien
26854,2001-10-08,2001,10,8,281,17,0.5,4.7,,,,,,,,,,,,,,,,Långsjön
4510,2001-10-09,2001,10,9,282,16,,67.29,,0.072,,,,,,,,9.1,,,,,,Barton broad outflow
52010,2001-10-09,2001,10,9,282,8,0.5,1.5,,,,,,,,,,,,,,,,Övre Skärsjön
28329,2001-10-09,2001,10,9,282,19,2.0,10.35,,,,,,,,,,,,,,,,Lake mendota
4107,2001-10-09,2001,10,9,282,16,,65.83,,0.072,,,,,,,,8.7,,,,,,Barton broad E.
346,2001-10-09,2001,10,9,282,13,,3.77,2.8,12.0,6.12,,,,,,,8.867391304,,,,,,Experimental lake 114
9730,2001-10-09,2001,10,9,282,7,0.5,1.3,,,,,,,,,,,,,,,,Bösjön
23409,2001-10-10,2001,10,10,283,9,,152.74,,0.082,,,,,,,,8.5,,,,,,Hoveton little broad E.
51795,2001-10-10,2001,10,10,283,11,0.5,28.0,,,,,,,,,,,,,,,,Östra Ringsjön
35788,2001-10-10,2001,10,10,283,11,,74.1,,0.116,,,,,,,,8.9,,,,,,South walsham broad
1900,2001-10-10,2001,10,10,283,12,,3.8,3.5,6.0,6.24,,,,,,,10.92608696,,,,,,Experimental lake 442
39076,2001-10-10,2001,10,10,283,10,0.5,40.0,,,,,,,,,,,,,,,,Sätoftasjön
23376,2001-10-10,2001,10,10,283,10,,42.82,,0.043,,,,,,,,8.5,,,,,,Hoveton little broad
45074,2001-10-10,2001,10,10,283,11,,69.7,,0.069,,,,,,,,8.0,,,,,,Wroxham broad
23055,2001-10-10,2001,10,10,283,22,,47.0,,0.052,,,,,,,,12.7,,,,,,Horsey mere
22799,2001-10-10,2001,10,10,283,21,,79.7,,0.1075,,,,,,,,13.5,,,,,,Hickling broad
43963,2001-10-10,2001,10,10,283,10,0.5,42.0,,,,,,,,,,,,,,,,Västra Ringsjön
42149,2001-10-10,2001,10,10,283,8,0.5,0.7,,,,,,,,,,,,,,,,Tryssjön
22544,2001-10-10,2001,10,10,283,21,,76.73,,0.086,,,,,,,,12.8,,,,,,Heigham sound
31127,2001-10-10,2001,10,10,283,28,,12.46,2.0,37.3,,,,,,,,14.4,,,12.3,,,Oneida lake
33630,2001-10-10,2001,10,10,283,8,,118.96,,0.107,,,,,,,,8.5,,,,,,Ranworth broad
27324,2001-10-10,2001,10,10,283,15,,2.66,,0.014,,,,,,,,13.0,,,,,,Martham south broad
26855,2001-10-11,2001,10,11,284,17,0.5,1.4,,,,,,,,,,,,,,,,Långsjön
37507,2001-10-11,2001,10,11,284,8,0.5,4.1,,,,,,,,,,,,,,,,Stengårdshultasjön
797,2001-10-11,2001,10,11,284,13,,2.13,5.0,,3.12,,,,,,,11.7125,,,,,,Experimental lake 224
49931,2001-10-12,2001,10,12,285,35,2.0,3.7,,0.02265,,,,,,,,,,,0.005,,,Hamilton harbour
51479,2001-10-15,2001,10,15,288,8,0.5,3.6,,,,,,,,,,,,,,,,Älgsjön
2103,2001-10-15,2001,10,15,288,6,0.2,8.9,,,,,,,,,,,,,,,,Trummen mitt
2187,2001-10-15,2001,10,15,288,6,0.2,5.7,,,,,,,,,,,,,,,,Växjösjön mitt
3442,2001-10-15,2001,10,15,288,18,1.0,14.65,,,,,,,,,,,,,,,,Allequash lake
37014,2001-10-15,2001,10,15,288,18,1.5,1.9,,,,,,,,,,,,,,,,Sparkling lake
1756,2001-10-15,2001,10,15,288,6,0.2,25.0,,,,,,,,,,,,,,,,Bergundasjön N.
9582,2001-10-15,2001,10,15,288,8,0.5,1.2,,,,,,,,,,,,,,,,Brunnsjön
21239,2001-10-15,2001,10,15,288,21,,6.0,3.6,16.0,,6.8,,,502.0,29.0,,13.1,,,,,,Grasmere
31128,2001-10-15,2001,10,15,288,28,,4.74,1.77,33.1,,,,,,,,13.86,,,11.5,,,Oneida lake
49065,2001-10-16,2001,10,16,289,24,,55.74,2.1,18.1,,8.03,,,199.0,5.0,,13.3,,,,,,Windermere -south basin
26856,2001-10-16,2001,10,16,289,17,0.5,4.2,,,,,,,,,,,,,,,,Långsjön
21837,2001-10-16,2001,10,16,289,8,0.5,4.6,,,,,,,,,,,,,,,,Gyslättasjön
17432,2001-10-16,2001,10,16,289,24,,24.8,2.5,47.7,,7.31,,,398.0,54.0,,13.8,,,,,,Esthwaite water
40730,2001-10-16,2001,10,16,289,7,0.5,5.1,,,,,,,,,,,,,,,,Trehörningen
8799,2001-10-16,2001,10,16,289,18,1.5,6.9,,,,,,,,,,,,,,,,Big Muskellunge lake
37677,2001-10-16,2001,10,16,289,20,0.5,1.6,,,,,,,,,,,,,,,,Stensjön
18365,2001-10-16,2001,10,16,289,8,0.5,3.1,,,,,,,,,,,,,,,,Fiolen
47206,2001-10-16,2001,10,16,289,24,,9.96,3.9,12.9,,7.37,,,334.0,13.0,,13.2,,,,,,Windermere -north basin
41813,2001-10-16,2001,10,16,289,18,2.0,9.875,,,,,,,,,,,,,,,,Trout bog
8160,2001-10-16,2001,10,16,289,13,,10.9,2.3,32.5,,6.9,,,596.0,66.0,,13.1,,,,,,Belhalm tarn
49932,2001-10-16,2001,10,16,289,35,2.0,12.15,,0.02625,,,,,,,,,,,0.0007,,,Hamilton harbour
24697,2001-10-16,2001,10,16,289,8,0.5,0.8,,,,,,,,,,,,,,,,Källsjön
37678,2001-10-17,2001,10,17,290,20,0.5,3.2,,,,,,,,,,,,,,,,Stensjön
13387,2001-10-17,2001,10,17,290,18,0.75,2.525,,,,,,,,,,,,,,,,Crystal bog
2253,2001-10-17,2001,10,17,290,6,0.5,3.5,,,,,,,,,,,,,,,,Törn
6377,2001-10-17,2001,10,17,290,17,,8.8,2.5,22.6,,6.9,,,325.0,13.0,,12.6,,,,,,Bassenthwaite
2260,2001-10-17,2001,10,17,290,7,0.5,1.5,,,,,,,,,,,,,,,,Getasjön
5,2001-10-17,2001,10,17,290,6,0.5,4.1,,,,,,,,,,,,,,,,Kyrksjön
14118,2001-10-17,2001,10,17,290,21,,3.7,4.5,7.0,,6.8,,,208.0,5.0,,12.7,,,,,,Derwentwater
12725,2001-10-17,2001,10,17,290,18,1.5,1.9,,,,,,,,,,,,,,,,Crystal lake
29615,2001-10-18,2001,10,18,291,21,,11.0,,0.094,,,,,,,,,,,,,,Ormesby broad
41170,2001-10-18,2001,10,18,291,18,1.5,5.1,,,,,,,,,,,,,,,,Trout lake
17782,2001-10-18,2001,10,18,291,17,,67.81,,0.168,,,,,,,,,,,,,,Filby broad
29899,2001-10-18,2001,10,18,291,21,,71.75,,0.148,,,,,,,,,,,,,,Ormesby little broad
33950,2001-10-18,2001,10,18,291,19,,85.59,,0.103,,,,,,,,,,,,,,Rollesby broad
42785,2001-10-18,2001,10,18,291,14,,7.2,,0.036,,,,,,,,,,,,,,Upton great broad
28330,2001-10-22,2001,10,22,295,19,2.0,1.7,,,,,,,,,,,,,,,,Lake mendota
49933,2001-10-22,2001,10,22,295,35,2.0,9.0,,0.02405,,,,,,,,,,,0.0017,,,Hamilton harbour
31129,2001-10-22,2001,10,22,295,28,,3.18,2.53,28.5,,,,,,,,12.84,,,14.6,,,Oneida lake
20077,2001-10-22,2001,10,22,295,6,0.5,4.4,,,,,,,,,,,,,,,,Glan
34994,2001-10-22,2001,10,22,295,6,0.5,5.8,,,,,,,,,,,,,,,,Roxen -centrala delen
347,2001-10-22,2001,10,22,295,13,,4.32,3.0,9.0,6.0,,,,,,,4.949230769,,,,,,Experimental lake 114
28595,2001-10-22,2001,10,22,295,15,2.0,7.6,,,,,,,,,,,,,,,,lake monona
44363,2001-10-24,2001,10,24,297,6,,14.5,1.3,0.037,13.2,8.47,0.85,0.004,0.013,,,,,,,,,Wabamun lake -west basin
37348,2001-10-24,2001,10,24,297,8,0.5,3.4,,,,,,,,,,,,,,,,St Skärsjön
44174,2001-10-24,2001,10,24,297,6,,12.8,1.6,0.033,13.3,8.44,0.93,0.004,0.007,,,,,,,,,Wabamun lake -east basin
18525,2001-10-24,2001,10,24,297,16,2.0,9.3,,,,,,,,,,,,,,,,Fish lake
37679,2001-10-25,2001,10,25,298,20,0.5,3.2,,,,,,,,,,,,,,,,Stensjön
32267,2001-10-25,2001,10,25,298,11,,29.0,2.0,0.054,,,1.74,,,0.125,,,,,,,,Pine lake -north
32159,2001-10-25,2001,10,25,298,11,,24.5,2.5,0.049,,,1.53,,,0.072,,,,,,,,Pine lake -middle
32367,2001-10-25,2001,10,25,298,11,,23.2,2.8,0.085,,,1.54,,,0.066,,,,,,,,Pine lake -south
49418,2001-10-25,2001,10,25,298,15,2.0,59.7,,,,,,,,,,,,,,,,Wingra
10280,2001-10-29,2001,10,29,302,8,,26.86,,0.104,,,,,,,,11.4,,,,,,Cockshoot broad
2286,2001-10-29,2001,10,29,302,9,,42.89,,0.096,,,,,,,,11.8,,,,,,Alderfen broad N.
798,2001-10-29,2001,10,29,302,13,,4.23,5.0,,2.88,,,,,,,6.65,,,,,,Experimental lake 224
3443,2001-10-29,2001,10,29,302,18,1.0,13.15,,,,,,,,,,,,,,,,Allequash lake
21240,2001-10-29,2001,10,29,302,21,,2.0,4.0,20.0,,6.65,,,438.0,51.0,,11.4,,,,,,Grasmere
37015,2001-10-29,2001,10,29,302,18,1.5,2.2,,,,,,,,,,,,,,,,Sparkling lake
1486,2001-10-29,2001,10,29,302,12,,2.21,3.3,,6.24,,,,,,,5.71,,,,,,Experimental lake 239
11199,2001-10-29,2001,10,29,302,6,,14.13,,0.124,,,,,,,,12.0,,,,,,Cromes broad
29616,2001-10-30,2001,10,30,303,21,,5.67,,0.081,,,,,,,,,,,,,,Ormesby broad
26630,2001-10-30,2001,10,30,303,28,,23.7,1.41,60.8,,,,,,,,10.55,,,15.2,,,Loch leven
17433,2001-10-30,2001,10,30,303,24,,19.49,2.5,39.6,,7.33,,,461.0,46.0,,12.8,,,,,,Esthwaite water
42786,2001-10-30,2001,10,30,303,14,,11.22,,0.033,,,,,,,,,,,,,,Upton great broad
1901,2001-10-30,2001,10,30,303,12,,2.35,2.25,6.0,6.36,,,,,,,5.4,,,,,,Experimental lake 442
49934,2001-10-30,2001,10,30,303,35,2.0,4.2,,0.02505,,,,,,,,,,,0.00105,,,Hamilton harbour
8161,2001-10-30,2001,10,30,303,13,,6.2,2.8,32.5,,7.0,,,533.0,95.0,,12.0,,,,,,Belhalm tarn
13388,2001-10-30,2001,10,30,303,18,1.0,3.35,,,,,,,,,,,,,,,,Crystal bog
33951,2001-10-30,2001,10,30,303,19,,130.47,,0.125,,,,,,,,,,,,,,Rollesby broad
29900,2001-10-30,2001,10,30,303,21,,107.9,,0.146,,,,,,,,,,,,,,Ormesby little broad
47207,2001-10-30,2001,10,30,303,24,,6.48,4.3,11.5,,7.28,,,348.0,18.0,,12.3,,,,,,Windermere -north basin
41814,2001-10-30,2001,10,30,303,18,1.75,6.225,,,,,,,,,,,,,,,,Trout bog
49066,2001-10-30,2001,10,30,303,24,,32.33,2.9,16.3,,7.51,,,258.0,14.0,,12.5,,,,,,Windermere -south basin
45075,2001-10-31,2001,10,31,304,11,,20.82,,0.088,,,,,,,,11.4,,,,,,Wroxham broad
6378,2001-10-31,2001,10,31,304,17,,5.0,2.8,23.6,,6.9,,,298.0,22.0,,11.5,,,,,,Bassenthwaite
23410,2001-10-31,2001,10,31,304,9,,64.15,,0.09,,,,,,,,12.7,,,,,,Hoveton little broad E.
12726,2001-10-31,2001,10,31,304,18,1.5,2.3,,,,,,,,,,,,,,,,Crystal lake
23377,2001-10-31,2001,10,31,304,10,,33.16,,0.06,,,,,,,,11.7,,,,,,Hoveton little broad
14119,2001-10-31,2001,10,31,304,21,,4.4,3.9,10.0,,6.9,,,172.0,5.0,,11.7,,,,,,Derwentwater
8800,2001-10-31,2001,10,31,304,18,1.5,7.55,,,,,,,,,,,,,,,,Big Muskellunge lake
35789,2001-10-31,2001,10,31,304,11,,50.52,,0.117,,,,,,,,12.2,,,,,,South walsham broad
41171,2001-11-01,2001,11,1,305,18,1.5,3.7,,,,,,,,,,,,,,,,Trout lake
50909,2001-11-01,2001,11,1,305,12,,7.705,,0.085,,,,,,,,,,,,,0.99,Taihu
21728,2001-11-01,2001,11,1,305,8,0.5,1.5,,,,,,,,,,,,,,,,Gyltigesjön
31130,2001-11-02,2001,11,2,306,28,,2.07,3.38,26.4,,,,,,,,10.13,,,19.5,,,Oneida lake
22545,2001-11-05,2001,11,5,309,21,,41.86,,0.074,,,,,,,,,,,,,,Heigham sound
23056,2001-11-05,2001,11,5,309,22,,37.93,,0.078,,,,,,,,,,,,,,Horsey mere
22800,2001-11-05,2001,11,5,309,21,,80.48,,0.084,,,,,,,,,,,,,,Hickling broad
27325,2001-11-05,2001,11,5,309,15,,5.1,,0.031,,,,,,,,,,,,,,Martham south broad
28331,2001-11-06,2001,11,6,310,19,2.0,1.65,,,,,,,,,,,,,,,,Lake mendota
49935,2001-11-06,2001,11,6,310,35,2.0,11.45,,0.03175,,,,,,,,,,,0.00305,,,Hamilton harbour
4511,2001-11-07,2001,11,7,311,16,,24.54,,0.034,,,,,,,,9.4,,,,,,Barton broad outflow
50739,2001-11-07,2001,11,7,311,11,3.0,61.0,,,,,,,,,,,,3.1,,,,Kasumigaura
26631,2001-11-09,2001,11,9,313,28,,48.53333333,1.105,71.93333333,,,,,,,,13.26666667,,,2.966666667,,,Loch leven
4108,2001-11-11,2001,11,11,315,16,,26.78,,0.032,,,,,,,,9.4,,,,,,Barton broad E.
21241,2001-11-12,2001,11,12,316,21,,3.0,2.8,39.0,,6.72,,,380.0,194.0,,9.1,,,,,,Grasmere
13389,2001-11-12,2001,11,12,316,18,1.25,3.65,,,,,,,,,,,,,,,,Crystal bog
8801,2001-11-12,2001,11,12,316,18,1.5,4.55,,,,,,,,,,,,,,,,Big Muskellunge lake
17434,2001-11-13,2001,11,13,317,24,,13.4,2.4,37.0,,7.34,,,474.0,5.0,,9.4,,,,,,Esthwaite water
51796,2001-11-13,2001,11,13,317,11,0.5,19.0,,,,,,,,,,,,,,,,Östra Ringsjön
8162,2001-11-13,2001,11,13,317,13,,3.3,1.7,33.3,,7.0,,,502.0,148.0,,9.1,,,,,,Belhalm tarn
29901,2001-11-13,2001,11,13,317,21,,48.78,,0.041,,,,,,,,,,,,,,Ormesby little broad
29617,2001-11-13,2001,11,13,317,21,,6.07,,0.068,,,,,,,,,,,,,,Ormesby broad
47208,2001-11-13,2001,11,13,317,24,,5.79,4.3,15.5,,7.25,,,352.0,12.0,,9.6,,,,,,Windermere -north basin
49067,2001-11-13,2001,11,13,317,24,,6.63,3.5,16.3,,7.26,,,298.0,11.0,,10.1,,,,,,Windermere -south basin
33952,2001-11-13,2001,11,13,317,19,,54.86,,0.057,,,,,,,,,,,,,,Rollesby broad
39077,2001-11-13,2001,11,13,317,10,0.5,22.0,,,,,,,,,,,,,,,,Sätoftasjön
43964,2001-11-13,2001,11,13,317,10,0.5,32.0,,,,,,,,,,,,,,,,Västra Ringsjön
42787,2001-11-13,2001,11,13,317,14,,21.29,,0.0655,,,,,,,,,,,,,,Upton great broad
12727,2001-11-13,2001,11,13,317,18,1.5,1.95,,,,,,,,,,,,,,,,Crystal lake
6379,2001-11-14,2001,11,14,318,17,,4.0,2.7,22.6,,7.0,,,330.0,26.0,,8.2,,,,,,Bassenthwaite
41172,2001-11-14,2001,11,14,318,18,1.5,3.85,,,,,,,,,,,,,,,,Trout lake
26632,2001-11-14,2001,11,14,318,28,,14.9,,44.0,,,,,,,,4.8,,,14.5,,,Loch leven
14120,2001-11-14,2001,11,14,318,21,,4.5,4.9,7.0,,6.9,,,235.0,5.0,,8.3,,,,,,Derwentwater
3444,2001-11-14,2001,11,14,318,18,1.0,7.05,,,,,,,,,,,,,,,,Allequash lake
49936,2001-11-15,2001,11,15,319,35,2.0,4.8,,0.02225,,,,,,,,,,,0.00175,,,Hamilton harbour
37016,2001-11-15,2001,11,15,319,18,1.5,3.45,,,,,,,,,,,,,,,,Sparkling lake
41815,2001-11-16,2001,11,16,320,18,1.25,15.5,,,,,,,,,,,,,,,,Trout bog
22546,2001-11-21,2001,11,21,325,21,,39.68,,0.057,,,,,,,,7.1,,,,,,Heigham sound
27326,2001-11-21,2001,11,21,325,15,,14.03,,0.045,,,,,,,,7.4,,,,,,Martham south broad
22801,2001-11-21,2001,11,21,325,21,,49.77,,0.07,,,,,,,,7.0,,,,,,Hickling broad
23057,2001-11-21,2001,11,21,325,22,,36.38,,0.032,,,,,,,,6.8,,,,,,Horsey mere
28332,2001-11-26,2001,11,26,330,19,2.0,2.1,,,,,,,,,,,,,,,,Lake mendota
21242,2001-11-26,2001,11,26,330,21,,3.0,3.4,30.0,,6.76,,,425.0,159.0,,7.8,,,,,,Grasmere
28596,2001-11-26,2001,11,26,330,15,2.0,3.45,,,,,,,,,,,,,,,,lake monona
49937,2001-11-27,2001,11,27,331,35,2.0,4.15,,0.0227,,,,,,,,,,,0.0012,,,Hamilton harbour
47209,2001-11-27,2001,11,27,331,24,,4.48,4.0,11.5,,7.17,,,456.0,5.0,,8.7,,,,,,Windermere -north basin
8163,2001-11-27,2001,11,27,331,13,,2.7,2.8,33.3,,7.0,,,759.0,57.0,,7.9,,,,,,Belhalm tarn
18526,2001-11-27,2001,11,27,331,16,2.0,11.8,,,,,,,,,,,,,,,,Fish lake
