lake_lat,lake_long,lake
56.301,-117.903,Figure eight lake
54.717,-111.967,Field lake -whole lake
54.719,-111.975,Field lake S.
54.729,-111.989,Field lake -centre
54.733,-112,Field lake N.
62.586,17.227,Stor-Myckelsjön
58.762,14.701,Fagertärn
62.98,15.144,Stor-Sundsjön
57.676,15.1,Försjön
59.384,17.019,Strängnäsbron
54.53,-110.354,Ethel Lake -cold lake
54.362,-2.986,Esthwaite water
42.791,-79.208,Lake erie -cruise
55.53,13.732,Ellestadssjön
49.668,-110.289,Elkwater lake
59.758,17.594,Ekoln Vreta Udd
62.98,13.033,Tronntjärnarna
59.866,17.045,Ekholmssjön
57.907,14.229,Edeskvarnaån NW.
59.806,17.904,Edasjön
46.24,-89.5,East long lake
51,-113.317,Eagle lake
60.68,12.648,Uggenäsdypen
52.892,-112.788,Driedmeat lake -site 2
52.575,-110.004,Dillberry lake
54.575,-3.146,Derwentwater
55.993,13.484,Dagstorpssjön
58.766,13.517,Dagskärsgrund N.
59.897,15.687,Dagarn lake
46.008,-89.606,Crystal bog
46.003,-89.612,Crystal lake
52.461,-115.044,Crimson lake
52.258,-115.011,Cow lake
47.652,8.895,Constance untersee -rhein river
54.532,-110.124,Cold lake
53.056,-113.253,Coal lake
52.767,-110.607,Clear lake -barns lake
50.15,-113.417,Clear lake- alms
50.679,-100.007,Clear lake
55.262,-118.763,Clairmont lake
54.1,-111.1,Chickenhill lake
51.033,-113.817,Chestermere lake
56.236,-117.738,cardinal lake
52.3,-110.714,Capt eyre lake
55.25,-113.333,Calling lake
51.989,-114.884,Burntstick lake
52.45,-112.95,Buffalo lake secondary bay
52.483,-112.867,Buffalo lake main
52.542,-113.008,Buffalo lake -bashaw bay
52.983,-114.767,Buck lake
60.272,15.97,Brunnsjön
57.115,14.711,Hultasjön W.
54.671,-110.547,Bourque lake
54.15,-111.875,Bonnie lake
58.776,15.715,Bleklången
58.849,13.861,Värmlandssjön Centr.
53.559,-116.811,Blackmud lake
59.474,16.544,Blacken lake
55.529,13.404,Björkesåkrasjön
59.925,14.955,Björken
62.471,16.964,Väster-Lövsjön
46.021,-89.612,Big Muskellunge lake
53.617,-113.671,Big lake E.
54.396,-2.977,Belhalm tarn
54.725,-111.833,Beaver lake
49.414,-114.108,Beauvais lake
54.205,-110.538,Beartrap lake
52.967,-114.183,Battle lake
54.653,-3.25,Bassenthwaite
