Lake,lat,long
"Tolken, Djupaste punkten",57.796022,13.254453
"Tolken (Mark), Djupaste punkten",57.37551,12.61631
"Tjärnesjön (pelagialt, djupaste punkten)",57.14467842,12.85853171
TIPERARY LAKE - COMPOSITE - (AB07BE0740),54.4,-113.23333
THUNDER LAKE - COMPOSITE - (AB07BB0250),54.15,-114.75
THE MERE NEAR PUMPHOUSE,53.32976285,-2.40147696
TEPEE LAKE - COMPOSITE - (AB07JB0050),56.42361,-113.95722
TAWATINAW LAKE - COMPOSITE - (AB07BE0460),54.33333,-113.46666
TALBOT LAKE - COMPOSITE - (AB07JD0020),57.46222,-115.73444
Taihu-THLO8,31.249478,120.169004
Taihu-THLO7,31.325288,120.186131
taihu,31.270767,120.21876
Tångerdasjön,57.46399,15.05955
Tärnan SSO,59.09118,13.46394
Tärnan,59.55704,18.36603
Tängersjö,57.46609,16.03284
Eriksundsbron,,
SYLVAN LAKE - COMPOSITE - (AB05CC0700),52.35,-114.16667
SWARTZ LAKE - COMPOSITE - (AB07AH0450),54.67944,-115.62667
SWAN LAKE (WEST OF VALLEYVIEW) - COMPOSITE - (AB07GF0310),55.06111,-117.80861
SWAN LAKE (WEST OF CAROLINE) - COMPOSITE - (AB05DB0140),52.11806,-115.17139
Svinnegarnsviken,59.56834,17.07067
Svinarydsjön,56.17746602,14.93721763
Svartsjön,56.85098156,13.23445094
Svartesjön,56.85073862,13.28989149
Svanshalssjön,56.41889,13.94921
Svaneholmssjön,55.50075761,13.48254651
Superior,46.54417,-84.74889
SULPHUR LAKE - COMPOSITE - (AB07HC0210),56.70694,-118.31167
STURGEON LAKE - WEST ARM COMPOSITE - (AB07GH0230),55.10861,-117.52944
STURGEON LAKE - MAIN BASIN COMPOSITE - (AB07GH0220),55.10278,-117.5375
Fällbanken NO,58.883928,13.26277
Stråken,57.85813289,13.86709244
Fällbanken NV,58.918272,13.079432
Fagerhultasjön,57.49673,15.35808
"Storsjön, Norbyviken, Stordjupet",60.57418925,16.62984962
Storsjön,61.6428508,15.79148994
Farstusjön,56.53506,13.99375
Fulleröfjärden S,,
Funbosjön,59.85957,17.85953
Stor-Backsjön,62.67597892,14.51652011
Storasjö,56.94784,15.27119
Stora Vänstern,58.61717913,15.17002297
Stora Nätaren,57.80216467,14.55892374
Gätejaure,Â 62.98150,13.75761
Stora Envättern,59.11674,17.3459
Galten V,59.46926,16.08846
Geten,58.56099,15.72167
STOBART LAKE - COMPOSITE - (AB05BM0800),50.91667,-113.18333
Stensjön,59.17446015,18.32440451
Stengårdshultasjön,57.55777929,13.80204466
STEELE (CROSS) LAKE - COMPOSITE - (AB07BC0110),54.65,-113.76667
Grönskogssjön,57.16269,16.34729
Gyltigesjön,56.75317,13.174
St. Lummersjön,58.11417,14.10621
St. Aspen,59.14242072,16.13623568
St Skärsjön,57.16785,14.50945
"St Hålsjön, Djupaste punkten",57.56752,12.64133
SPRUCE COULEE RESERVOIR - COMPOSITE - (AB11AB0010),49.68333,-110.18333
SPRING LAKE - COMPOSITE - (AB05EA0260),53.51667,-114.13333
Spjutsjön,60.6470296,15.43758769
Sparkling,46.008,-89.701
SOUTH TEA LAKE - COMPOSITE - (AB07BK0200),54.78472,-115.02528
South Lake,50.646101,-100.010736
Sommen väst,58.13390381,14.97071965
Sommen nordväst,58.13390381,14.97071965
Sommen,58.13390381,14.97071965
Snogeholmssjön,55.56434481,13.72087992
SNIPE LAKE - COMPOSITE - (AB07GH0240),55.11667,-116.78333
SMOKE LAKE - COMPOSITE - (AB07GG0010),54.36667,-116.93333
Härö Nygrund NO,59.249079,13.765729
Skreia,60.6523407,11.0873654
Skirösjön,57.36492,15.38146
Härbillingen,56.96684,12.73655
SKELETON LAKE - SOUTH BASIN - COMPOSITE - (AB06AA0410),54.61472,-112.72806
SKELETON LAKE - NORTH BASIN - COMPOSITE - (AB06AA0440),54.64389,-112.70528
SKELETON LAKE - COMPOSITE - (AB06AA0450),54.60083,-112.70528
Skarven,59.55366034,17.80745934
Skärsjösjön,57.83190815,14.78195135
Skärgölen,58.59103664,15.51303187
Skäravattnet,56.32341,14.37544
SINCLAIR LAKE - COMPOSITE - (AB07GJ0280),55.39667,-119.74694
SILER (STONEY) LAKE - COMPOSITE - (AB05ED0270),53.86667,-111.1
Siggeforasjön,59.97846017,17.16228745
SHORNCLIFFE LAKE - COMPOSITE - (AB05FD0030),52.46944,-110.8675
SHOOTING LAKE - COMPOSITE - (AB05FC0220),52.2,-112.35
SHININGBANK LAKE - COMPOSITE - (AB07AG0765),53.85781,-116.03667
SHERBURNE LAKE - COMPOSITE GRASSY LAKE - (AB05AJ0090),49.76667,-111.76667
SEMO LAKE - COMPOSITE - (AB07KA0060),58.84444,-115
Hagsjön,58.76223,15.93372
SCOTS LAKE - COMPOSITE - (AB05BN0410),50.35,-111.61667
Saxen,60.15636,14.98043
SASKATOON LAKE - COMPOSITE - (AB07GE0240),55.21722,-119.08778
Sangen,61.92772625,14.89691201
SANDY LAKE - SOUTH BASIN COMPOSITE - (AB05EA0390),53.77222,-114.02972
SANDY LAKE - NORTH BASIN COMPOSITE - (AB05EA0370),53.80944,-114.04861
SANDY LAKE - COMPOSITE - (AB07JA0390),55.84514,-113.37153
SAND LAKE (L22) - COMPOSITE - (AB07DA2250),57.65083,-112.36667
Hedgärdessjö,57.50694,12.6337
Salen,56.86459581,14.55586859
Sövdesjön,55.5813124,13.66288312
Sövdeborgssjön,55.58123136,13.69445007
Södra Gusjön,57.3789616,13.59314306
Södra Färgen,56.90610803,13.34114289
"Södra Dellen, profundal",61.75734,16.85089
Sätterholmsfjärden Hammarö/Karlstad kommun,59.327285,13.64081904
Sätoftasjön,55.89106691,13.55151126
Sännen,56.32502143,15.35816647
"Sämsjön (pelagialt, djupaste punkten)",57.64302198,13.3727338
